03-19 15:41:18: Training starting...
03-19 15:41:19: New best reward 28.0 (-100.0%) at episode 0, saving model...
03-19 15:41:19: New best reward 29.0 (+3.6%) at episode 6, saving model...
03-19 15:41:19: New best reward 41.0 (+41.4%) at episode 45, saving model...
03-19 15:41:19: New best reward 58.0 (+41.5%) at episode 50, saving model...
03-19 15:41:19: New best reward 64.0 (+10.3%) at episode 55, saving model...
03-19 15:41:19: New best reward 65.0 (+1.6%) at episode 117, saving model...
03-19 15:41:20: New best reward 86.0 (+32.3%) at episode 260, saving model...
03-19 15:41:21: New best reward 116.0 (+34.9%) at episode 419, saving model...
03-19 15:41:21: New best reward 125.0 (+7.8%) at episode 440, saving model...
03-19 15:41:21: New best reward 181.0 (+44.8%) at episode 561, saving model...
03-19 15:41:22: New best reward 193.0 (+6.6%) at episode 742, saving model...
03-19 15:41:22: New best reward 235.0 (+21.8%) at episode 749, saving model...
03-19 15:41:24: New best reward 242.0 (+3.0%) at episode 948, saving model...
03-19 15:41:24: New best reward 248.0 (+2.5%) at episode 949, saving model...
03-19 15:41:25: New best reward 252.0 (+1.6%) at episode 1010, saving model...
03-19 15:41:27: New best reward 254.0 (+0.8%) at episode 1123, saving model...
03-19 15:41:28: New best reward 264.0 (+3.9%) at episode 1144, saving model...
03-19 15:41:28: New best reward 267.0 (+1.1%) at episode 1169, saving model...
03-19 15:41:29: New best reward 410.0 (+53.6%) at episode 1194, saving model...
03-19 15:41:30: New best reward 434.0 (+5.9%) at episode 1249, saving model...
03-19 15:41:36: New best reward 441.0 (+1.6%) at episode 1459, saving model...
03-19 15:41:41: New best reward 464.0 (+5.2%) at episode 1578, saving model...
03-19 15:41:52: New best reward 575.0 (+23.9%) at episode 1869, saving model...
03-19 15:42:25: New best reward 584.0 (+1.6%) at episode 2493, saving model...
03-19 15:42:25: New best reward 662.0 (+13.4%) at episode 2494, saving model...
03-19 15:42:30: New best reward 671.0 (+1.4%) at episode 2569, saving model...
03-19 15:42:31: New best reward 1139.0 (+69.7%) at episode 2587, saving model...
03-19 15:42:32: New best reward 1532.0 (+34.5%) at episode 2599, saving model...
03-19 15:42:34: New best reward 2416.0 (+57.7%) at episode 2645, saving model...
03-19 15:43:06: New best reward 2838.0 (+17.5%) at episode 3175, saving model...
03-19 15:43:10: New best reward 3024.0 (+6.6%) at episode 3197, saving model...
03-19 15:43:11: New best reward 3804.0 (+25.8%) at episode 3198, saving model...
03-19 15:43:57: New best reward 7622.0 (+100.4%) at episode 3668, saving model...
03-19 15:44:03: New best reward 9859.0 (+29.3%) at episode 3675, saving model...
03-19 15:44:20: New best reward 14828.0 (+50.4%) at episode 3689, saving model...
03-19 15:44:29: New best reward 21423.0 (+44.5%) at episode 3695, saving model...
03-19 15:44:58: New best reward 100000.0 (+366.8%) at episode 3890, saving model...
