03-19 16:09:59: Training starting...
03-19 16:10:00: New best reward -8.7 (-100.0%) at episode 0, saving model...
03-19 16:10:00: New best reward -6.9 (-20.7%) at episode 1, saving model...
03-19 16:10:00: New best reward -5.7 (-17.4%) at episode 6, saving model...
03-19 16:10:01: New best reward -5.1 (-10.5%) at episode 98, saving model...
03-19 16:10:01: New best reward -4.5 (-11.8%) at episode 99, saving model...
03-19 16:10:01: New best reward -3.3 (-26.7%) at episode 108, saving model...
03-19 16:10:03: New best reward -2.1 (-36.4%) at episode 361, saving model...
03-19 16:10:04: New best reward 0.3 (-114.3%) at episode 545, saving model...
03-19 16:10:21: New best reward 2.7 (+800.0%) at episode 1639, saving model...
03-19 16:10:21: New best reward 3.3 (+22.2%) at episode 1650, saving model...
03-19 16:11:16: New best reward 3.9 (+18.2%) at episode 4845, saving model...
03-19 16:12:43: New best reward 4.5 (+15.4%) at episode 9317, saving model...
03-19 16:15:40: New best reward 4.7 (+4.4%) at episode 17094, saving model...
03-19 16:16:46: New best reward 4.8 (+2.1%) at episode 19741, saving model...
03-19 16:16:52: New best reward 4.9 (+2.1%) at episode 19954, saving model...
03-19 16:18:06: New best reward 5.0 (+2.0%) at episode 22767, saving model...
03-19 16:18:24: New best reward 6.0 (+20.0%) at episode 23464, saving model...
03-19 16:19:38: New best reward 6.1 (+1.7%) at episode 26177, saving model...
03-19 16:19:44: New best reward 6.2 (+1.6%) at episode 26364, saving model...
03-19 16:21:48: New best reward 6.3 (+1.6%) at episode 30820, saving model...
03-19 16:22:04: New best reward 6.5 (+3.2%) at episode 31387, saving model...
03-19 16:22:27: New best reward 6.6 (+1.5%) at episode 32332, saving model...
03-19 16:23:29: New best reward 6.7 (+1.5%) at episode 34421, saving model...
03-19 16:23:44: New best reward 8.4 (+25.4%) at episode 34928, saving model...
03-19 16:24:41: New best reward 11.0 (+31.0%) at episode 36826, saving model...
03-19 16:25:02: New best reward 13.2 (+20.0%) at episode 37521, saving model...
03-19 16:25:31: New best reward 14.0 (+6.1%) at episode 38431, saving model...
03-19 16:25:35: New best reward 22.4 (+60.0%) at episode 38570, saving model...
03-19 16:32:08: New best reward 23.1 (+3.1%) at episode 50267, saving model...
03-19 16:32:37: New best reward 23.2 (+0.4%) at episode 51385, saving model...
03-19 16:33:13: New best reward 31.9 (+37.5%) at episode 52915, saving model...
03-19 16:34:02: New best reward 38.7 (+21.3%) at episode 54952, saving model...
03-19 16:35:42: New best reward 47.1 (+21.7%) at episode 58797, saving model...
03-19 16:36:05: New best reward 51.0 (+8.3%) at episode 59695, saving model...
03-19 16:37:50: New best reward 68.9 (+35.1%) at episode 63660, saving model...
